116	35.276	139.155	1	20	4.284	0	8.9	184.5	193.3	27.07749767
479	35.276	139.155	1	20	4.284	0	4	0	214.3	111.8113912
390	35.276	139.155	1	20	4.284	0	6.7	154.5	140.7	91.03641457
549	35.276	139.155	1	20	4.284	0	7.3	108	194.9	128.1512605
603	35.276	139.155	1	20	4.284	0	14	92	220.4	140.7563025
501	35.276	139.155	1	20	4.284	0	18.1	316.5	159.3	116.9467787
404	35.276	139.155	1	20	4.284	0	22.5	202	111.9	94.30438842
536	35.276	139.155	1	20	4.284	0	26.8	144.5	194.1	125.1167134
515	35.276	139.155	1	20	4.284	0	26.9	173	195.7	120.2147526
493	35.276	139.155	1	20	4.284	0	23.8	418.5	185.1	115.0793651
409	35.276	139.155	1	20	4.284	0	18.3	182	143.8	95.47152194
346	35.276	139.155	1	20	4.284	0	14	152.5	138.6	80.76563959
371	35.276	139.155	1	20	4.284	1	6.4	75	168.3	86.60130719
368	35.276	139.155	1	20	4.284	1	3.9	51	145.6	85.90102708
365	35.276	139.155	1	20	4.284	1	4.8	257.5	136.4	85.20074697
428	35.276	139.155	1	20	4.284	1	8.6	244	138.8	99.90662932
498	35.276	139.155	1	20	4.284	1	13.6	163.5	160.9	116.2464986
555	35.276	139.155	1	20	4.284	1	18.1	231	196.1	129.5518207
431	35.276	139.155	1	20	4.284	1	20.7	276	111.9	100.6069094
505	35.276	139.155	1	20	4.284	1	25.4	147	179.7	117.8804855
618	35.276	139.155	1	20	4.284	1	27.1	33	256.7	144.2577031
489	35.276	139.155	1	20	4.284	1	24.3	303	185.9	114.1456583
445	35.276	139.155	1	20	4.284	1	18.3	109	182.9	103.8748833
365	35.276	139.155	1	20	4.284	1	11.3	183.5	160.7	85.20074697
347	35.276	139.155	1	20	4.284	2	6.2	144.5	152.4	80.99906629
452	35.276	139.155	1	20	4.284	2	4.2	63	196.4	105.5088702
377	35.276	139.155	1	20	4.284	2	5.1	96	138.5	88.00186741
